,mean_latent_error,test_mean_latent_error,random_latent_loss,random_mean_1_latent_loss,train_loss,test_loss,train_reconstruction_mse_loss,test_reconstruction_mse_loss,train_kl_divergence_error,test_kl_divergence_error
0,1.7202234268188477,0.03392808511853218,0.3505120575428009,0.47191038727760315,180.45756918945312,161.21491689453126,0.05398546904325485,0.046618882566690445,4.262086839916309,5.254299032592773
1,0.8453841805458069,0.041956719011068344,0.0367245078086853,0.040755387395620346,159.50120821940104,154.800919921875,0.0446603000164032,0.04347441345453262,5.493933747355143,5.822465545654297
2,0.7836992144584656,0.03661539405584335,0.03760658949613571,0.05723116546869278,154.4342699544271,151.29022236328126,0.04221256077289581,0.04168246313929558,5.852613508097331,6.047979504394531
3,0.6649962067604065,0.025424621999263763,0.0334574431180954,0.058670882135629654,151.41673338216145,148.992933203125,0.04073229059576988,0.04044023156166077,6.095672770182292,6.499899194335938
4,0.5633484125137329,0.0337994210422039,0.027707252651453018,0.05437520891427994,149.4205401204427,147.2655685546875,0.03979092091321945,0.0397910438477993,6.235350031534831,6.175521014404297
5,0.5076277256011963,0.016662880778312683,0.024922506883740425,0.04993467032909393,148.05503823242188,146.107124609375,0.039139896631240845,0.03920357674360275,6.324362528483073,6.342952563476563
6,0.4437694251537323,0.021642781794071198,0.022105086594820023,0.043836481869220734,146.68409622395833,144.84877705078125,0.038502663373947144,0.03852800279855728,6.414310172526042,6.573435467529297
7,0.4004920423030853,0.01734781824052334,0.020327337086200714,0.0441887266933918,145.81735939127603,144.448725,0.03809641674160957,0.038396213203668594,6.4563905670166015,6.446124401855469
8,0.36382293701171875,0.013834668323397636,0.019369356334209442,0.04139823839068413,145.16794669596354,143.82285595703124,0.03779427707195282,0.038069501519203186,6.513031019083659,6.584703173828125
9,0.3265317976474762,0.014146054163575172,0.01754157990217209,0.03769207000732422,144.52380670572916,143.30708076171874,0.03749063238501549,0.037862859666347504,6.553237217203776,6.479776812744141
10,0.3061201274394989,0.013968887738883495,0.016799062490463257,0.0322120301425457,143.93461482747395,143.15517939453125,0.03722153976559639,0.03775286301970482,6.585760725911459,6.6020807373046875
11,0.28560808300971985,0.012368232011795044,0.015421957708895206,0.03325800225138664,143.30860657552083,142.4212265625,0.03693024814128876,0.03740895166993141,6.634165063476562,6.666239215087891
12,0.28427523374557495,0.012530433014035225,0.015201928094029427,0.029284756630659103,143.07336499023438,142.45205859375,0.03679400309920311,0.03739918768405914,6.664354107666016,6.688777734375
13,0.2638154923915863,0.012814640067517757,0.01482421439141035,0.029209086671471596,142.65957205403646,141.854656640625,0.03661331906914711,0.03713391721248627,6.68752307434082,6.712765563964844
14,0.25092360377311707,0.012362534180283546,0.014727934263646603,0.029544303193688393,142.36871510416665,141.9035177734375,0.03647923842072487,0.03713155910372734,6.71950134379069,6.688690557861328
15,0.24298574030399323,0.011057022027671337,0.013840794563293457,0.02876998856663704,141.9492384440104,141.143866015625,0.03628038614988327,0.03688392415642738,6.752085274251302,6.5923569152832036
16,0.23068661987781525,0.00883791595697403,0.014480441808700562,0.029713716357946396,141.8414784016927,141.4099265625,0.03621740639209747,0.03689201921224594,6.7628562540690105,6.757711206054688
17,0.22008971869945526,0.010012442246079445,0.015430623665452003,0.029064703732728958,141.59087985026042,140.72394677734374,0.03608861565589905,0.03660137951374054,6.7888056640625,6.7404602478027345
18,0.2242351472377777,0.01255759596824646,0.012998082675039768,0.026165859773755074,141.07812779947918,140.89232431640625,0.035856377333402634,0.036572087556123734,6.821233799235026,6.941709008789062
19,0.22810004651546478,0.011096786707639694,0.013871892355382442,0.02773566171526909,140.86851193033854,140.901178515625,0.03576508164405823,0.03663583844900131,6.836662369791667,6.874070489501953
20,0.20936466753482819,0.008736439049243927,0.012647083960473537,0.023992711678147316,140.56538719075522,140.6510953125,0.03562967851758003,0.036489441990852356,6.870834605916341,6.928965100097656
21,0.20350798964500427,0.00960796233266592,0.012390726245939732,0.025980912148952484,140.40690960286457,140.1244025390625,0.03552592918276787,0.036275461316108704,6.88033703918457,6.907253918457031
22,0.21177206933498383,0.010060862638056278,0.012455270625650883,0.0257253535091877,140.2246240234375,140.81537841796876,0.03544218838214874,0.036591943353414536,6.900118548583984,6.861109814453125
23,0.2028363049030304,0.008574890904128551,0.012743682600557804,0.028034944087266922,140.0377078938802,140.2622435546875,0.0353456474840641,0.03626280277967453,6.928266622924805,6.96050166015625
24,0.2022736668586731,0.010538092814385891,0.012598398141562939,0.026766706258058548,139.79989417317708,140.05811162109376,0.0352356992661953,0.0362098403275013,6.9283534576416015,6.9226825927734374
